Title,"Percentage of first degree qualifiers obtaining each classification by sex, mode of study and country of HE provider",,,,,
Location,UK,,,,,
Academic years,2013/14 to 2017/18,,,,,
Data source,HESA,,,,,
Data source link,https://www.hesa.ac.uk/data-and-analysis/sb252/figure-17,,,,,
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/sb252/figure-17.csv,,,,,
Licence,Creative Commons Attribution 4.0 International Licence,,,,,
Code page,Unicode UTF-8 ,,,,,
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count. ,,,,,
2013/14 total,395605,,,,,
2014/15 total,370905,,,,,
2015/16 total,376330,,,,,
2016/17 total,391875,,,,,
2017/18 total,396940,,,,,
Last updated,Jan-19,,,,,
,,,,,,
,,,,,,
Academic Year,Mode of study,Sex,Country of HE provider,Classification of First Degree,Number,Percentage
2014/15,Full-time,Female,Wales,Total classified,10980,
2014/15,Full-time,Female,Wales,Upper second,5510,50%
2014/15,Full-time,Male,All,First,33240,23%
2014/15,Full-time,Male,All,Lower second,35505,24%
2014/15,Full-time,Male,All,Third/Pass,8020,5%
2014/15,Full-time,Male,All,Total classified,146665,
2014/15,Full-time,Male,All,Upper second,69900,48%
2014/15,Full-time,Male,England,First,28510,23%
2014/15,Full-time,Male,England,Lower second,29760,24%
2014/15,Full-time,Male,England,Third/Pass,6790,5%
2014/15,Full-time,Male,England,Total classified,123965,
2014/15,Full-time,Male,England,Upper second,58905,48%
2014/15,Full-time,Male,Northern Ireland,First,690,20%
2014/15,Full-time,Male,Northern Ireland,Lower second,890,26%
2014/15,Full-time,Male,Northern Ireland,Third/Pass,190,6%
2014/15,Full-time,Male,Northern Ireland,Total classified,3470,
2014/15,Full-time,Male,Northern Ireland,Upper second,1700,49%
2014/15,Full-time,Male,Scotland,First,2410,23%
2014/15,Full-time,Male,Scotland,Lower second,2240,22%
2014/15,Full-time,Male,Scotland,Third/Pass,440,4%
2014/15,Full-time,Male,Scotland,Total classified,10405,
2014/15,Full-time,Male,Scotland,Upper second,5315,51%
2014/15,Full-time,Male,Wales,First,1630,18%
2014/15,Full-time,Male,Wales,Lower second,2615,30%
2014/15,Full-time,Male,Wales,Third/Pass,600,7%
2014/15,Full-time,Male,Wales,Total classified,8825,
2014/15,Full-time,Male,Wales,Upper second,3985,45%
2014/15,Full-time,Other,All,First,15,28%
2014/15,Full-time,Other,All,Lower second,5,15%
2014/15,Full-time,Other,All,Third/Pass,0,2%
2014/15,Full-time,Other,All,Total classified,45,
2014/15,Full-time,Other,All,Upper second,25,54%
2014/15,Full-time,Other,England,First,10,33%
2014/15,Full-time,Other,England,Lower second,5,19%
2014/15,Full-time,Other,England,Third/Pass,0,3%
2014/15,Full-time,Other,England,Total classified,35,
2014/15,Full-time,Other,England,Upper second,15,44%
2014/15,Full-time,Other,Scotland,First,0,..
2014/15,Full-time,Other,Scotland,Lower second,0,..
2014/15,Full-time,Other,Scotland,Third/Pass,0,..
2014/15,Full-time,Other,Scotland,Total classified,10,
2014/15,Full-time,Other,Scotland,Upper second,5,..
2014/15,Full-time,Other,Wales,First,0,..
2014/15,Full-time,Other,Wales,Lower second,0,..
2014/15,Full-time,Other,Wales,Third/Pass,0,..
2014/15,Full-time,Other,Wales,Total classified,0,
2014/15,Full-time,Other,Wales,Upper second,0,..
2014/15,Part-time,All,All,First,5605,17%
2014/15,Part-time,All,All,Lower second,9900,30%
2014/15,Part-time,All,All,Third/Pass,5255,16%
2014/15,Part-time,All,All,Total classified,32735,
2014/15,Part-time,All,All,Upper second,11975,37%
2014/15,Part-time,All,England,First,5035,17%
2014/15,Part-time,All,England,Lower second,8905,30%
2014/15,Part-time,All,England,Third/Pass,4830,16%
2014/15,Part-time,All,England,Total classified,29455,
2014/15,Part-time,All,England,Upper second,10685,36%
2014/15,Part-time,All,Northern Ireland,First,120,13%
2014/15,Part-time,All,Northern Ireland,Lower second,310,34%
2014/15,Part-time,All,Northern Ireland,Third/Pass,80,9%
2014/15,Part-time,All,Northern Ireland,Total classified,900,
2014/15,Part-time,All,Northern Ireland,Upper second,390,43%
2014/15,Part-time,All,Scotland,First,195,18%
2014/15,Part-time,All,Scotland,Lower second,325,30%
2014/15,Part-time,All,Scotland,Third/Pass,160,14%
2014/15,Part-time,All,Scotland,Total classified,1100,
2014/15,Part-time,All,Scotland,Upper second,420,38%
2014/15,Part-time,All,Wales,First,255,20%
2014/15,Part-time,All,Wales,Lower second,360,28%
2014/15,Part-time,All,Wales,Third/Pass,190,15%
2014/15,Part-time,All,Wales,Total classified,1285,
2014/15,Part-time,All,Wales,Upper second,480,37%
2014/15,Part-time,Female,All,First,3050,16%
2014/15,Part-time,Female,All,Lower second,6010,31%
2014/15,Part-time,Female,All,Third/Pass,3045,16%
2014/15,Part-time,Female,All,Total classified,19380,
2014/15,Part-time,Female,All,Upper second,7280,38%
2014/15,Part-time,Female,England,First,2740,16%
2014/15,Part-time,Female,England,Lower second,5430,31%
2014/15,Part-time,Female,England,Third/Pass,2815,16%
2014/15,Part-time,Female,England,Total classified,17530,
